inv_br;naziv;stopa;amgrp;amgrp_naz;datum_nabave;aktivirano;kto_nabave;kto otpisa;duguje;potrazuje;saldo;amortizacija_za_razdoblje
458;PEUGEOT BOXER BJ940EH P14;25;1007;Vozila teretna i kombi vozila;2008-12-10;2009-01-01;03203;03903;130829.14;130829.14;0.00;0.00
459;PEUGEOT BOXER BJ941EH P15;25;1007;Vozila teretna i kombi vozila;2008-12-16;2009-01-01;03203;03903;128559.02;128559.02;0.00;0.00
461;MOTORNI BROD SEA RAY 315;10;1012;Brodice, jahte;2008-06-24;2008-07-01;03208;03909;334355.50;332851.90;1503.60;33435.60
462;ČAMAC SD 230;10;1012;Brodice, jahte;2008-07-15;2008-08-01;03208;03909;3000.00;2950.00;50.00;300.00
463;KLIMA TOSHIBA 2,7/2,9 HL;10;1008;Ostala oprema;2008-10-20;2008-11-01;03030;03906;6153.00;5025.44;1127.56;615.36
465;ČITAČ BARKODA 4,33MHz OM;10;1008;Ostala oprema;2009-03-23;2009-04-01;03010;03901;3757.50;2911.83;845.67;375.72
466;BRZI SISTEM ZA ZAMJENU;10;1008;Ostala oprema;2009-05-22;2009-06-01;03010;03901;4410.00;3344.25;1065.75;441.00
468;KOMPRESOR VIJČANI RT 30.1;10;1008;Ostala oprema;2009-10-27;2009-11-01;03010;03901;26850.00;19242.50;7607.50;2685.00
469;UREDSKI NAMJEŠTAJ;20;1004;Namještaj(uredski,pogonski);2009-11-03;2009-12-01;03210;03911;5195.12;5195.12;0.00;0.00
470;GOLF 1.9 TDI GT SPORT;20;1005;Osobna vozila;2009-03-12;2009-04-01;03200;03920;130010.94;130010.94;0.00;0.00
472;NAMJEŠTAJ POŽEGA;20;1004;Namještaj(uredski,pogonski);2009-06-02;2009-07-01;03210;03911;3717.35;3717.35;0.00;0.00
473;UREDSKI NAMJEŠTAJ;20;1004;Namještaj(uredski,pogonski);2009-08-31;2009-09-01;03210;03911;2045.90;2045.90;0.00;0.00
474;PLINSKA PEĆ ELMA;10;1008;Ostala oprema;2009-10-22;2009-11-01;03020;03905;2434.96;1724.66;710.30;243.48
475;BAR CODE PRINTR INTERMEC;10;1008;Ostala oprema;2009-11-04;2009-12-01;03010;03901;12980.00;9140.36;3839.64;1298.04
476;ČITAČ BAR CODA;10;1008;Ostala oprema;2009-11-04;2009-12-01;03010;03901;5132.00;3614.06;1517.94;513.24
